id,name,duration,artist_id,artist_name,artist_idstr,album_name,album_id,license_ccurl,position,releasedate,album_image,audio,audiodownload,prourl,shorturl,shareurl,audiodownload_allowed,content_id_free,image,musicinfo
168,J'm'e FPM,183,7,TriFace,triface,Premiers Jets,24,,1,2004-12-17,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=168,https://prod-1.storage.jamendo.com/?trackid=168&format=mp32&from=Jt8AxSaFD71OW%2Bc3F3TpiA%3D%3D%7Cu%2Faoyb%2F4RX1F%2BLFHJYSvBA%3D%3D,https://prod-1.storage.jamendo.com/download/track/168/mp32/,,https://jamen.do/t/168,https://www.jamendo.com/track/168,True,False,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=168,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'medium', 'tags': {'genres': ['rock', 'metal', 'hardcore'], 'instruments': [], 'vartags': []}}"
169,Trio HxC,101,7,TriFace,triface,Premiers Jets,24,,2,2004-12-17,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=169,https://prod-1.storage.jamendo.com/?trackid=169&format=mp32&from=RPq7c%2B4a2orygRzGRXMaZg%3D%3D%7C%2BoMbp8CotOFpapT7jRdxVg%3D%3D,https://prod-1.storage.jamendo.com/download/track/169/mp32/,,https://jamen.do/t/169,https://www.jamendo.com/track/169,True,False,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=169,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'medium', 'tags': {'genres': ['metal', 'hardcore', 'alternativerock'], 'instruments': [], 'vartags': []}}"
170,Un Poil De Relifion,207,7,TriFace,triface,Premiers Jets,24,,3,2004-12-17,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=170,https://prod-1.storage.jamendo.com/?trackid=170&format=mp32&from=eDYd6HB%2F8I%2B8cyu3k%2B%2BymQ%3D%3D%7C123Q5IFtv6z2C%2B%2FWi2djnA%3D%3D,https://prod-1.storage.jamendo.com/download/track/170/mp32/,,https://jamen.do/t/170,https://www.jamendo.com/track/170,True,False,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=170,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'high', 'tags': {'genres': ['metal', 'hardcore', 'electronic'], 'instruments': [], 'vartags': []}}"
171,Apologies,145,7,TriFace,triface,Premiers Jets,24,,4,2004-12-17,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=171,https://prod-1.storage.jamendo.com/?trackid=171&format=mp32&from=p93Z%2FHzXGyAUOiyz730jnA%3D%3D%7ClIgtIQljbOgvJLc9f74DCw%3D%3D,https://prod-1.storage.jamendo.com/download/track/171/mp32/,,https://jamen.do/t/171,https://www.jamendo.com/track/171,True,False,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=171,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'high', 'tags': {'genres': ['rock', 'metal', 'hardcore'], 'instruments': [], 'vartags': []}}"
172,Je Vomis Comme Je Chante,177,7,TriFace,triface,Premiers Jets,24,,5,2004-12-17,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=172,https://prod-1.storage.jamendo.com/?trackid=172&format=mp32&from=BpiZSmmt8%2Ft%2BZiDiovdK8Q%3D%3D%7C2gFq6x4TYzhqzyS%2BNPuhKg%3D%3D,https://prod-1.storage.jamendo.com/download/track/172/mp32/,,https://jamen.do/t/172,https://www.jamendo.com/track/172,True,False,https://usercontent.jamendo.com?type=album&id=24&width=300&trackid=172,"{'vocalinstrumental': 'instrumental', 'speed': 'medium', 'tags': {'genres': ['rock', 'metal', 'hardcore'], 'instruments': [], 'vartags': []}}"
174,Mind Asylum,183,9,Skaut,skaut,Mind Asylum,25,,1,2004-12-18,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=174,https://prod-1.storage.jamendo.com/?trackid=174&format=mp32&from=EIwnnrOqgff5IgWdQVoQ2A%3D%3D%7CEN8J7noKdYQ%2Fi1BRW4V%2F%2FA%3D%3D,https://prod-1.storage.jamendo.com/download/track/174/mp32/,,https://jamen.do/t/174,https://www.jamendo.com/track/174,True,False,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=174,"{'vocalinstrumental': 'vocal', 'speed': 'high', 'tags': {'genres': ['rock', 'hardcore'], 'instruments': [], 'vartags': []}}"
175,You Don't Know,322,9,Skaut,skaut,Mind Asylum,25,,2,2004-12-18,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=175,https://prod-1.storage.jamendo.com/?trackid=175&format=mp32&from=eUAp7l43rWI0K3jbXJGf3Q%3D%3D%7Cqay1FddQc1YurASSvGe1MA%3D%3D,https://prod-1.storage.jamendo.com/download/track/175/mp32/,,https://jamen.do/t/175,https://www.jamendo.com/track/175,True,False,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=175,"{'vocalinstrumental': 'instrumental', 'speed': 'medium', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}"
176,Overcome,292,9,Skaut,skaut,Mind Asylum,25,,3,2004-12-18,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=176,https://prod-1.storage.jamendo.com/?trackid=176&format=mp32&from=08CgJPN2ycC27buWsmFZOg%3D%3D%7COG%2FRB4Ii283j21r5YWcibw%3D%3D,https://prod-1.storage.jamendo.com/download/track/176/mp32/,,https://jamen.do/t/176,https://www.jamendo.com/track/176,True,False,https://usercontent.jamendo.com?type=album&id=25&width=300&trackid=176,"{'vocalinstrumental': 'instrumental', 'speed': 'high', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}"
198,Trois Saucisses Dans Une Bulle,33,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,1,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=198,https://prod-1.storage.jamendo.com/?trackid=198&format=mp32&from=K1W3oldfyCZiwgbgw9eneQ%3D%3D%7Ct0%2BS3L0cYeDwQv2Rz8aKIg%3D%3D,https://prod-1.storage.jamendo.com/download/track/198/mp32/,,https://jamen.do/t/198,https://www.jamendo.com/track/198,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=198,"{'vocalinstrumental': 'instrumental', 'lang': 'fr', 'speed': 'medium', 'tags': {'genres': [], 'instruments': [], 'vartags': ['neutral']}}"
199,New Bitch,171,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,2,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=199,https://prod-1.storage.jamendo.com/?trackid=199&format=mp32&from=b%2FuEPwHWVhuQCM2ASQAcCw%3D%3D%7Chr8OqTZJXCtLyviccNBi6Q%3D%3D,https://prod-1.storage.jamendo.com/download/track/199/mp32/,,https://jamen.do/t/199,https://www.jamendo.com/track/199,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=199,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'veryhigh', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}"
